,ID,Type,Language_1,Lexeme_1,Meaning_1,Direction,Language_2,Lexeme_2,Meaning_2
37190,shift2549, Polysemy,Tigrinya,həṭur,"'brave, valorous'",—,Tigrinya,həṭur,"'clever, proficient'"
37193,shift2550, Polysemy,Amharic,zəḳḳətäñña,'low',→,Amharic,zəḳḳətäñña,"'subordinate (rank, position), minor (official)'"
37194,shift2550, Polysemy,Croatian,nizak,low (location),→,Croatian,nizak,of low rank
37195,shift2550, Derivation,Geez,tāḥtāy,"'lower, inferior' (LGz. 572)",→,Geez,təḥut,'subordinate' (LLA 553)
37196,shift2550, Polysemy,Hungarian,alsó,low (location),→,Hungarian,alsó,of low rank
37197,shift2550, Polysemy,Japanese,shimo (下),bottom; lower part,→,Japanese,shimo (下),inferior
37198,shift2550, Polysemy,Norwegian,lav,low (location),→,Norwegian,lav,subordinate (in rank)
37199,shift2550, Polysemy,Russian,nižnij,"lower, inferior",—,Russian,nižnij,lower
37200,shift2550, Polysemy,Serbian,низак (nizak),low (location),→,Serbian,низак (nizak),of low rank
37209,shift2551, Derivation,Amharic,adärrägä,"‘to make, to do; to act’",→,Amharic,tädärarrägä,‘to do s.th. to one another; to have sex. (euth.)’
37210,shift2551, Polysemy,Classical Arabic,faʕala,to do,→,Classical Arabic,faʕala,to copulate
37211,shift2551, Polysemy,English,make,to create,→,English,make,"to seduce, to make a person of the opposite sex go to make love"
37212,shift2551, Polysemy,English,do,"to act, to perform; to execute",→,English,do,to have sexual intercourse (euphemism)
37213,shift2551, Polysemy,Karakhanid Uighur,ӄил-,"to do, to make",→,Karakhanid Uighur,ӄил-,"to copulate, to have sexual intercourse"
37214,shift2551, Polysemy,Samoan,fai,to do,→,Samoan,fai,to copulate
37215,shift2551, Polysemy,Tigrinya,gäbärä,"‘to do, to make, to work’",→,Tigrinya,gäbärä,"‘to fornicate, commit adultery’"
37216,shift2551, Polysemy,Tongan,fai,to do,→,Tongan,fai,to copulate
37225,shift2552, Polysemy,Classical Arabic,nafaḥa,'to blow',—,Classical Arabic,nafaḥa,'to diffuse odour'
37227,shift2553, Polysemy,Classical Arabic,ṣadr-,"bosom, breast",—,Classical Arabic,ṣadr-,the fore part of anything
37228,shift2553, Polysemy,Finnish,rinta,"chest, breast, thorax",→,Finnish,rinta,front of an inanimate object
37229,shift2553, Polysemy,Finongan,kopongnin,chest (body part),→,Finongan,kopongnin,front part
37230,shift2553, Polysemy,Icelandic,brjóst,chest (body part),→,Icelandic,brjóst,front part of something
37231,shift2553, Polysemy,Votic,rinta,chest (body part),→,Votic,rinta,front part
37237,shift2554, Cognates,Classical Arabic,ḥamaṭīṭ-,serpent ,—,Jewish Aramaic,ḥumṭā,lizard (chamoeleon) 
37238,shift2555, Polysemy,Mehri,kawb,dog,→,Mehri,kawb,wolf
37239,shift2555, Derivation,Sumerian,ur,dog,→,Sumerian,ur-bar-ra /urbarak/,wolf
37240,shift2555, Derivation,Tofa,ыът,dog,→,Tofa,дағ-ыът,wolf
37241,shift2555, Derivation,Tuvan,ыд,dog,→,Tuvan,тайга ыды,(euphemism) wolf
37242,shift2555, Derivation,Yakut,ыт,dog,→,Yakut,таҥара ыта,(euphemism) wolf
37248,shift2556, Polysemy,Classical Arabic,ḳunfuḏ-,hedgehog (herisson),→,Classical Arabic,ḳunfuḏ-,rat
37249,shift2556, Polysemy,Romani,sureto,hedgehog,—,Romani,sureto,mouse
37252,shift2557, Syncretism,Mandarin Chinese,měng (黽),frog,—,Mandarin Chinese,měng (黽),toad
37253,shift2557, Derivation,Romanian,broască,frog,→,Romanian,broască râioasă,toad
37254,shift2557, Polysemy,Tigrinya,"ḳʷərʕo, ḳurʕo, ḳʷärʕo",'frog',→,Tigrinya,"ḳʷərʕo, ḳurʕo, ḳʷärʕo",'toad'
37258,shift2558, Polysemy,Komi,лёльӧ,"worm, caterpillar",—,Komi,лёльӧ,"snail, slug"
37259,shift2558, Polysemy,Komi,гаг,worm,—,Komi,гаг,snail
37260,shift2558, Cognates,Modern Written Arabic,فَحَّار faḥḥār-,worm,—,Jibbali,fḥarɛ́t,snail with a very hard shell 
37264,shift2559, Derivation,Modern Written Arabic,فَحَرَ faḥara,to dig,—,Modern Written Arabic,فَحَّار faḥḥār-,worm
37266,shift2560, Cognates,Classical Arabic,farḫ-,chick (poussin),→,Mehri,farḫ,bastard
37268,shift2561, Cognates,Mehri,fərháyn,mare; horse,→,Soqotri,fírehim,"fille, jeune fille"
37270,shift2562, Polysemy,Ancient Hebrew,tannīn,serpent; crocodile,—,Ancient Hebrew,tannīn,"sea-monster, sea-dragon"
37271,shift2562, Polysemy,Avestan,aži,snake,—,Avestan,aži,dragon
37272,shift2562, Internal cognates,Bulgarian,змия,snake,—,Bulgarian,змей,dragon
37273,shift2562, Cognates,Russian,змея,snake,—,Russian,змей,dragon
37274,shift2562, Polysemy,Sanskrit,áhi (अहि),"snake, serpent",—,Sanskrit,áhi (अहि),"Vritra, an Asura and also a serpent or dragon, the personification of drought and enemy of Indra, he is said to have had three heads."
37275,shift2562, Cognates,Serbian,змија (zmija),snake,—,Serbian,змај (zmaj),dragon
37276,shift2562, Polysemy,Sumerian,ušumgallu ,great dragon,—,Sumerian,ušumgallu ,"snake, type of serpent"
37284,shift2563, Polysemy,Amharic,təl,"'worm, earthworm'",→,Amharic,təl,'caterpillar'
37285,shift2563, Syncretism,Arosi,uro,worm,—,Arosi,uro,maggot
37286,shift2563, Polysemy,Chukchee,"кымъылгын, кымъыкым",worm,—,Chukchee,"кымъылгын, кымъыкым",caterpillar
37287,shift2563, Syncretism,Gapapaiwa,sulata,worm,—,Gapapaiwa,sulata,caterpillar
37288,shift2563, Polysemy,Hill Mari,шукш,worm,—,Hill Mari,шукш,caterpillar
37289,shift2563, Polysemy,Indonesian,ulat,worm,—,Indonesian,ulat,caterpillar
37290,shift2563, Derivation,Kannada,huḷa (ಹುಳ),worm,→,Kannada,kambaḷihuḷa (ಕಂಬಳಿಹುಳ),caterpillar
37291,shift2563, Polysemy,Kiribati,mwata,worm,—,Kiribati,mwata,caterpillar
37292,shift2563, Polysemy,Koryak,ынгэм,worm,→,Koryak,ынгэм,caterpillar
37293,shift2563, Polysemy,Lao,nǭn (ໜອນ),worm,—,Lao,nǭn (ໜອນ),larva of insect
37294,shift2563, Syncretism,Lau (Malaita island),wā,worm,—,Lau (Malaita island),wā,caterpillar
37295,shift2563, Syncretism,Maori,iro,"vermin, threadworm",—,Maori,iro,maggot
37296,shift2563, Syncretism,Marquesan,iʔo,worm,—,Marquesan,iʔo,caterpillar
37297,shift2563, Syncretism,Minaveha,mwata-mwata,worm,—,Minaveha,mwata-mwata,caterpillar
37298,shift2563, Syncretism,Muyuw,simwa,worm,—,Muyuw,simwa,maggot
37299,shift2563, Syncretism,Nanumean (North Tuvaluan),anufe,worm,—,Nanumean (North Tuvaluan),anufe,caterpillar
37300,shift2563, Syncretism,"Sa'a (South Malaita, Apae'aa",mwā-mwā,worm,—,"Sa'a (South Malaita, Apae'aa",mwā-mwā,maggot
37301,shift2563, Polysemy,Samoan,ʔanufe,worm,→,Samoan,ʔanufe,caterpillar
37302,shift2563, Syncretism,Tahitian,iro,worm,—,Tahitian,iro,maggot
37303,shift2563, Syncretism,Tami,timwa,worm,—,Tami,timwa,caterpillar
37304,shift2563, Syncretism,Toʼabaita (Toqabaqita),wā,worm,—,Toʼabaita (Toqabaqita),wā,caterpillar
37305,shift2563, Syncretism,Udihe,кулига,worm,—,Udihe,кулига,caterpillar
37328,shift2564, Cognates,Classical Arabic,ṭāˀir-,"a flying thing (bird, or insect)",→,Geez,taṭayyara,to divine by observing the flight of birds (LGz. 600; cf. also LLA 1245)
37329,shift2564, Derivation,Old East Slavic,кобецъ,red-footed falcon,—,Old East Slavic,кобь,telling fortune watching birds
37332,shift2565, Polysemy,Classical Arabic,ṯawr-,a bull ,→,Classical Arabic,ṯawr-,"a chief, master, lord"
37334,shift2566, Polysemy,Classical Arabic,اِنْتَهَى ʔintahā (VIII-stem),to reach,—,Classical Arabic,اِنْتَهَى ʔintahā (VIII-stem),to end
37336,shift2567, Polysemy,Akkadian,aḳru,"rare (animals, plants, stones etc.)",→,Akkadian,aḳru,"expensive; precious, valuable"
37337,shift2567, Polysemy,Chaha,nund,rare,←,Chaha,nund,expensive
37338,shift2567, Polysemy,Classical Arabic,ʕazīz-,rare; scarce; hardly to be found,→,Classical Arabic,ʕazīz-,"dear, highly esteemed, greatly valued"
37342,shift2568, Polysemy,Akkadian,birku,knee,→,Akkadian,birku,(an euphemism for male and female sexual parts)
37343,shift2568, Polysemy,English,lap,knees,→,English,lap,loins; genitalia
37344,shift2568, Polysemy,German, Schoß,"knees, loins ",→,German, Schoß,feminine genitalia
37345,shift2568, Semantic evolution,Polish,łono,"lap, knees, breast",←,Polish,łono,genitalia (obs.)
37350,shift2569, Polysemy,Tigre,rātəʕ,"'right, correct'",→,Tigre,rātəʕ,"'rich, wealthy'"
37352,shift2570, Derivation,Tigre,saḥata,"‘to be mistaken, to fail, to commit a fault, to do wrong’",→,Tigre,səḥət,"'violent, bold, daring' (active participle from saḥata)"
37354,shift2571, Borrowing,Classical Arabic,tāğir-,"'marchand' (купец, торговец) (BK I 192)",→,Tigre,tāğər,'rich' (LH 321)
37356,shift2572, Derivation,Akkadian,ṭābtu,salt,←,Akkadian,ṭâbu,"to become good, pleasant, sound, sweet"
37357,shift2572, Polysemy,Classical Arabic,malīḥ-,salty,→,Classical Arabic,malīḥ-,"goodly, beautiful"
37358,shift2572, Polysemy,Tigrinya,č̣äw,salt,→,Tigrinya,č̣äw,comeliness
37362,shift2573, Polysemy,Amharic,awaḳi,"intelligent, wise, knowledgeable, expert",→,Amharic,awaḳi,"full-grown, adult, elder"
37364,shift2574, Polysemy,Amharic,əngəda,"guest, visitor",←,Amharic,əngəda,stranger
37365,shift2574, Polysemy,Gamo,ʕimmattsé,guest,—,Gamo,ʕimmattsé,stranger
37366,shift2574, Polysemy,Latin,hospes,"guest, visitor",—,Latin,hospes,"stranger, foreign"
37367,shift2574, Polysemy,Oromo,keessummaa,guest,—,Oromo,keessummaa,stranger
37372,shift2575, Polysemy,Fula,diwa,to jump,—,Fula,diwa,to fly
37373,shift2575, Polysemy,Hadza,hukwa,to fly,—,Hadza,hukwa,to jump
37374,shift2575, Polysemy,Mota,rowo,to fly,—,Mota,rowo,"to spring, leap"
37375,shift2575, Polysemy,Motu,roho,to fly,—,Motu,roho,"to leap, skip"
37376,shift2575, Polysemy,Soqotri,fer,to fly,—,Soqotri,fer,"to spring, jump"
37377,shift2575, Polysemy,Tigre,sarra,to fly,—,Tigre,sarra,to jump
37378,shift2575, Cognates,Yuwaalaraay,bara-y,to fly,—,Gamilaraay,bara-y,"to jump, hop"
37386,shift2576, Polysemy,Thai,yen (เย็น),cold,→,Thai,yen (เย็น),calm; composed; serene
37387,shift2576, Polysemy,Tigrinya,zǝḥul,cold,→,Tigrinya,zǝḥul,quiet
37390,shift2577, Polysemy,Amharic,šənt,urine,→,Amharic,šənt,descendants (fig.)
37392,shift2578, Derivation,Syriac,raḥem,to have mercy upon,—,Syriac,rəḥem,to love
37393,shift2578, Polysemy,Thai,prɔ̄t,"to love, to like, to feel sympathy",—,Thai,prɔ̄t,to feel pity
37396,shift2579, Polysemy,Ancient Greek,στίχος,row or file of soldiers,→,Ancient Greek,στίχος,"poem, verse"
37397,shift2579, Polysemy,Latin,versus,"furrow, row, line",→,Latin,versus,"verse, poem"
37398,shift2579, Polysemy,Mandarin Chinese,háng (行),line of objects; row; (Mainland China) row (in data tables); (Taiwan) column (in data tables),→,Mandarin Chinese,háng (行),line (in poetry)
37402,shift2580, Derivation,Classical Arabic,naṯara,"to scatter (repandre, disperser, disseminer (ce qui etait rassemble dans un certain ordre)",→,Classical Arabic,manṯūr-,prose
37404,shift2581, Polysemy,Modern Written Arabic,تَوَقَّفَ tawaḳḳafa (V-stem),"to stop, halt, to stand still",→,Modern Written Arabic,تَوَقَّفَ tawaḳḳafa (V-stem),"to depend, be dependent, conditional (+ على))"
37405,shift2581, Polysemy,Serbian,стајати (stajati),to stand,→,Serbian,стајати (stajati),to depend
37408,shift2582, Polysemy,Abkhaz,адырра (adərra),to know,→,Abkhaz,адырра (adərra),"can, to be able"
37409,shift2582, Cognates,Amharic,c̆alä,"to be able, can, be capable of",→,Zway,čāl,to know
37410,shift2582, Polysemy,Farsi,-دان dān-,to be able,—,Farsi,-دان dān-,"to know, to be informed"
37411,shift2582, Polysemy,Sumerian,zu,to be able to,—,Sumerian,zu,to know
37416,shift2583, Polysemy,Classical Arabic,laḥẓat-,"look, gaze (un regard)",→,Classical Arabic,laḥẓat-,"moment, instant"
37417,shift2583, Derivation,German,Blick,"look, gaze",→,German,Augenblick,instant
37418,shift2584, Polysemy,Classical Arabic,tawassaṭa,to be in the middle,→,Classical Arabic,tawassaṭa,to be intermediary
37419,shift2584, Derivation,Russian,середина (seredina),middle,→,Russian,посредник (posrednik),mediator
37422,shift2585, Polysemy,Modern Written Arabic,rağā رَجَا,to hope,—,Modern Written Arabic,rağā رَجَا,"to ask, request"
37424,shift2586, Polysemy,Old East Slavic,платокъ,"textile, cloth",→,Old East Slavic,платокъ,headscarf
37425,shift2586, Polysemy,Tundra Yukaghir,ваҕадиилиэ,"textile, cloth",—,Tundra Yukaghir,ваҕадиилиэ,headscarf
37428,shift2587, Polysemy,Geez,ʕǝṣub,"hard, harsh, difficult, troublesome",—,Geez,ʕǝṣub,"difficult to perceive, inconceivable, marvelous, astonishing"
37430,shift2588, Polysemy,English,ruminate,to ruminate,→,English,ruminate,"to think, to reflect"
37432,shift2589, Polysemy,Classical Arabic,ṣarīḥ-,"'pure, sheer, free from admixture''",→,Classical Arabic,ṣarīḥ-,"'genuine, clear (word, speech etc.)'"
37433,shift2589, Polysemy,Turkish,halis,"pure, unblended, without a mixture",→,Turkish,halis,"frank, open-hearted, honest"
37434,shift2589, Polysemy,Turkish,saf,"pure, unblended, without a mixture",→,Turkish,saf,"naive, open-hearted, simple-harted"
37438,shift2590, Polysemy,Amharic,fätta,"to undo, untie (a knot or fastening); to untangle, to loosen (one's belt)",→,Amharic,fätta,"to abolish, revoke (the grant of a fief), to leave off working"
37440,shift2591, Polysemy,Classical Arabic,ḥalla,"untie (dénouer, défaire (un noeud)",→,Classical Arabic,ḥalla,to open (door) (the dialect of Algeria)
37441,shift2591, Polysemy,Geez,fatḥa,to open,←,Geez,fatḥa,"to loosen, untie, unfasten"
37444,shift2592, Polysemy,Ancient Greek,στόλος,"army, troops",←,Ancient Greek,στόλος,military campaign
37445,shift2592, Polysemy,Ancient Hebrew,ṣābāʔ,army,→,Ancient Hebrew,ṣābāʔ,"war, warfare"
37446,shift2592, Semantic evolution,Romanian,oaste,army,←,Latin,hostis,military campaign
37447,shift2592, Internal cognates,Russian,войско,army,—,Russian,война,war
37452,shift2593, Derivation,Classical Arabic,ṭariba (I-stem),to be excited ,→,Classical Arabic,ṭarraba (II-stem),"to sing, chant, or to play music"
37453,shift2593, Polysemy,Modern Written Arabic,ṭarab,"joy, pleasure, delight, rapture; amusement",→,Modern Written Arabic,ṭarab,music
37456,shift2594, Polysemy,Amharic,täñña,'to sleep',→,Amharic,täñña,"'to be stagnant (water); to cease, rest (from an activity)'"
37457,shift2594, Polysemy,Turkish,uyumak,to sleep,→,Turkish,uyumak,"to be inactive, motionless"
37460,shift2595, Polysemy,Amharic,räggäṭä,"'to trample, step on, tread on); to pass around the confines of a field'",→,Amharic,räggäṭä,"'to defy, refuse or reject with scorn'"
37462,shift2596, Polysemy,Russian,prestupat',to step over,→,Russian,prestupat',to break
37464,shift2597, Polysemy,Classical Arabic,tafiha,"to be little, small in quantity or number",—,Classical Arabic,tafiha,"to be paltry, sorry, mean, contemptible, inconsiderable"
37466,shift2598, Polysemy,Classical Arabic,tafiha,"'to be little, small in quantity or number'",→,Classical Arabic,tafiha,"'to be stupid, foolish'"
37468,shift2599, Polysemy,Classical Arabic,tafih-,"'little, small in quantity or number'",—,Classical Arabic,tafih-,"'insipid, tasteless'"
37470,shift2600, Polysemy,Classical Arabic,ʕafā,"to efface, to erase",→,Classical Arabic,ʕafā,to forgive
37472,shift2601, Polysemy,Geez,ṭafʔa,"to be extinguished, be put out (light)",→,Geez,ṭafʔa,"to be blotted out, cease, be lost, disappear, vanish"
37473,shift2601, Polysemy,Russian,ugasat',"to die away, to expire",→,Russian,ugasat',to die out
37476,shift2602, Polysemy,Amharic,awäddämä,"to put out (a fire, a cigarette)",—,Amharic,awäddämä,"to devastate, to ravage, to demolish, destroy utterly"
37477,shift2602, Polysemy,Amharic,aṭäffa,to extinguish,→,Amharic,aṭäffa,"to destroy, annihilate"
37478,shift2602, Polysemy,Batsbi,xaldar,to extinguish (fire),→,Batsbi,xaldar,"to destroy, annihilate"
37479,shift2602, Polysemy,Buriat,hунеехэ,to extinguish,→,Buriat,hунеехэ,"to destroy, annihilate"
37480,shift2602, Polysemy,English,extinguish,to put out (fire),→,English,extinguish,"to destroy, annihilate"
37481,shift2602, Polysemy,Geez,ʔaṭfǝʔa,"to extinguish, put out",→,Geez,ʔaṭfǝʔa,"to lay waste, destroy"
37482,shift2602, Polysemy,German,löschen,"to put out, extinguish",→,German,löschen,"to wipe off (what has been written), to annihilate"
37483,shift2602, Polysemy,Russian,gasit',"to extinguish, put out (fire)",→,Russian,gasit',"to weaken, to prevent from growing, to stop"
37484,shift2602, Polysemy,Yaqui (Hiaki),tuucha,"to extinguish (fire, light), turn off electricity",→,Yaqui (Hiaki),tuucha,to erase
37494,shift2603, Polysemy,Amharic,ḳomä,"to stand, be on one's feet, be erect",→,Amharic,ḳomä,"to stop, cease, come to a halt"
37495,shift2603, Polysemy,Croatian,stati,to stand,→,Croatian,stati,to stop (intr.)
37496,shift2603, Polysemy,Geez,ḳoma,to stand,→,Geez,ḳoma,to stop (intr.)
37497,shift2603, Polysemy,Hill Mari,шагалаш,to stand,→,Hill Mari,шагалаш,to stop (intr.)
37498,shift2603, Polysemy,Latin,"consisto, -ere",to stand,→,Latin,"consisto, -ere",to stop
37499,shift2603, Polysemy,Serbian,стати (stati),to stand,→,Serbian,стати (stati),to stop (intr.)
37506,shift2604, Polysemy,Amharic,aḳomä,"'to erect, set upright'",→,Amharic,aḳomä,"'to stop, cause to stop or cease, to halt, put an end to'"
37507,shift2604, Polysemy,Armenian,kangnecʿnel (կանգնեցնել),"to make stand, to erect",→,Armenian,kangnecʿnel (կանգնեցնել),to stop
37508,shift2604, Polysemy,Komi,сувтӧдны,"to set up, to make stand, to set upright",→,Komi,сувтӧдны,"to stop (vehicle), to stop (the engine)"
37509,shift2604, Polysemy,Meadow Mari,шогалташ,"to set up, to make stand, to set upright",→,Meadow Mari,шогалташ,to stop
37514,shift2605, Polysemy,Amharic,ḳomä,"to stand, be on one's feet, be erect",→,Amharic,ḳomä,"to protect, assist"
37515,shift2605, Derivation,Latin,"sto, -are",to stand,→,Latin,"assisto, -ere","to help, aid"
37518,shift2606, Polysemy,Amharic,aḳomä,"'to erect, set upright; to raise, cause to get up'",→,Amharic,aḳomä,"'to establish, set up; to render valid (a law)'"
37519,shift2606, Polysemy,Latin,"statuo, -ere",to put,→,Latin,"statuo, -ere",to found
37520,shift2606, Internal cognates,Russian,поставить,to put,→,Russian,установить,to establish
37524,shift2607, Derivation,Italian,uscire,to go out,→,Italian,riuscire,"to suceed, to manage"
37526,shift2608, Polysemy,Amharic,täč̣awwätä,"to play (a game, a musical instrument)",→,Amharic,täč̣awwätä,"to chat, converse"
37527,shift2608, Polysemy,Chaha,täfäḳʸärä-,to play,—,Chaha,täfäḳʸärä-,"to converse, chat"
37528,shift2608, Polysemy,German,sich unterhalten,to amuse oneself,→,German,sich unterhalten,to converse
37529,shift2608, Polysemy,Tigrinya,ʔawgǝʕe,"to amuse oneself, spend one's time in amusements, games, joking etc.",—,Tigrinya,ʔawgǝʕe,"to converse, tell stories"
37534,shift2609, Polysemy,Amharic,bälla,'to eat',→,Amharic,bälla,"'to analyze, reflect upon, digest'"
37536,shift2610, Derivation,Classical Arabic,biˀsa,"(he, it is) very evil, bad",—,Classical Arabic,baˀusa,"to be mighty, strong, corageous (in war or fight)"
37537,shift2610, Polysemy,Russian,lihoj,bad,→,Russian,lihoj,bold
37540,shift2611, Derivation,Classical Arabic,أَبْهَم ʔabham-,unable to speak or incapable of speaking,—,Classical Arabic,بَهِيمَة bahīmat-,animal
37541,shift2611, Polysemy,Romanian,necuvântător,non-speaking,—,Romanian,necuvântător,(obsolete) animal
37544,shift2612, Polysemy,Classical Arabic,baḍaʕa,'to cut',→,Classical Arabic,baḍaʕa,"'to lay (with a woman, to compress (a woman)'"
37545,shift2612, Polysemy,Thai,fan (ฟัน),"to cut, to slash",→,Thai,fan (ฟัน),(colloquial) to have sex with
37548,shift2613, Derivation,Classical Arabic,taḫabbara,to buy a sheep or goat and divide its flesh among oneselves,—,Classical Arabic,"ḫabbara, ˀaḫbara",to inform
37549,shift2613, Polysemy,German,mitteilen,to share,→,German,mitteilen,to inform
37550,shift2613, Derivation,Latin,communis,"common, shared",→,Latin,communico,"to inform, let know"
37551,shift2613, Derivation,Russian,общий (obščij),common,→,Russian,сообщать (soobščat'),to communicate
37556,shift2614, Polysemy,English,common,"common, shared by several people",→,English,common,bad
37557,shift2614, Polysemy,German,gemein,common (in compounds),→,German,gemein,"mean, vulgar"
37558,shift2614, Semantic evolution,Old English,gemæne,"common, shared by several people",→,English,mean,bad
37562,shift2615, Polysemy,Arabic,نَيِّر nayyir,"bright, shining, lighted",—,Arabic,نَيِّر nayyir,transparent
37563,shift2615, Semantic evolution,Classical Arabic,نَمِرَ namira,to be brilliant,→,Classical Arabic,"نَمِر ,نَمِير namir-, namīr-","pure, clean"
37564,shift2615, Polysemy,Syriac,nahir,"light, bright, shining",→,Syriac,nahir,"clear, transparent"
37568,shift2616, Polysemy,Amharic,təkkʷǝs,"'warm, hot (object)'",→,Amharic,təkkʷǝs,"'fresh (meat, eggs, bread)'"
37569,shift2616, Polysemy,Romanian,cald,warm,→,Romanian,cald,fresh
37572,shift2617, Polysemy,Amharic,täkkʷäsä,"'to ignite, light, set on fire'",→,Amharic,täkkʷäsä,"'to fire (a gun, artillery or other firearms)'"
37573,shift2617, Polysemy,English,fire,fire,→,English,fire,to shoot
37574,shift2617, Polysemy,Russian,palit',to scald,→,Russian,palit',to pound away
37578,shift2618, Polysemy,Classical Arabic,šāʔa,"to want, to desire",→,Classical Arabic,šayʔ-,"a thing, an object"
37579,shift2618, Derivation,Syriac,ṣbā(ʔ),"to want, to desire",→,Syriac,ṣbuṯā(ʔ),a thing
37582,shift2619, Polysemy,Amharic,wätät,milk (cow or human),→,Amharic,wätät,sap (of a tree)
37583,shift2619, Polysemy,Buriat,hу(н),milk,→,Buriat,hу(н),sap (of a plant)
37584,shift2619, Polysemy,Croatian,mlijeko,milk,→,Croatian,mlijeko,sap (of a plant)
37585,shift2619, Polysemy,Geez,ḥalib,milk,→,Geez,ḥalib,"sap, juice"
37586,shift2619, Polysemy,Serbian,млеко (mleko),milk,→,Serbian,млеко (mleko),sap (of a plant)
37587,shift2619, Polysemy,Turkish,süt,milk,→,Turkish,süt,milky juice of the plant; latex
37594,shift2620, Polysemy,Classical Arabic,laban-,lait,→,Classical Arabic,laban-,résine qui coule d'un arbre et qui sert d'encens
37596,shift2621, Polysemy,Amharic,märz,poison,—,Amharic,märz,"deep-seated hatred, detestation"
37597,shift2621, Polysemy,Croatian,otrovan,poisonous,→,Croatian,otrovan,angry
37598,shift2621, Polysemy,Geez,ḥəmz,venenum,←,Geez,ḥəmz,"aestus irae, furor, exacerbatio"
37599,shift2621, Polysemy,Hungarian,méreg,poison,→,Hungarian,méreg,anger
37600,shift2621, Polysemy,Serbian,отрован (otrovan),poisonous,→,Serbian,отрован (otrovan),angry
37606,shift2622, Derivation,Classical Arabic,ḥaṣ-an,"‘caillou; calcul, gravelle ou pierre’ (BK I 445)",→,Classical Arabic,ʔaḥṣā,‘compter’ (BK I 444)
37607,shift2622, Derivation,Latin,calculus,pebble,→,Latin,"calculo, -āre","count, calculate"
37610,shift2623, Polysemy,Akkadian,abnu,'stone',→,Akkadian,abnu,'hailstones'
37611,shift2623, Derivation,Batak Toba,batu,stone (piece of rock),→,Batak Toba,batu ni laŋit,hail
37612,shift2623, Derivation,Maori,whatu,stone (piece of rock),→,Maori,ua whatu,hail
37613,shift2623, Derivation,Sundanese,batu,stone (piece of rock),→,Sundanese,hujan batu,hail
37618,shift2624, Polysemy,Akkadian,abnu,stone,→,Akkadian,abnu,"stone weight, weighting stone"
37619,shift2624, Polysemy,Ancient Hebrew,ʔeben,stone (piece of rock),→,Ancient Hebrew,ʔeben,balance weight on scale
37620,shift2624, Derivation,Batak Toba,batu,stone (piece of rock),→,Batak Toba,batu ni dasiŋ,counterweight on a scale
37621,shift2624, Polysemy,Malagasy,vato,stone (piece of rock),→,Malagasy,vato,weights
37622,shift2624, Polysemy,Malagasy,vato,stone (piece of rock),→,Malagasy,vato,balance weight on scale
37623,shift2624, Polysemy,Ngaju Dayak,batu,stone (piece of rock),→,Ngaju Dayak,batu,counterweight on scale
37630,shift2625, Polysemy,Classical Arabic,kaddara,"to make turbid, muddy",→,Classical Arabic,kaddara,"to disturb, afflict, distress"
37631,shift2625, Polysemy,Latin,"turbo, -are","to mix, stir",→,Latin,"turbo, -are",to spoil (tr.)
37634,shift2626, Polysemy,Classical Arabic,sawwaṭa,to mix,→,Classical Arabic,sawwaṭa,"to make confused, disordered, perplexed"
37635,shift2626, Polysemy,Latin,"turbo, turbare","to mix, stir",→,Latin,"turbo, turbare",to make disordered
37636,shift2626, Derivation,Russian,мешать,"to mix, stir",→,Russian,смешаться,to make disordered
37637,shift2626, Polysemy,Tigrinya,zärägä,"to make liquids turbid, to stir up the dregs (of a beverage=, to make muddy, dirty",→,Tigrinya,zärägä,"to confuse, deceive s.o. with ambiguous wordsö to disrupt, to disconcertt; to disarrange, derange, to dissipate, to mess, muddle"
37642,shift2627, Polysemy,Amharic,däğğ,"door, doorway, entrance",→,Amharic,däğğ,"outside, outdoors, out of doors"
37643,shift2627, Derivation,Ancient Greek,θύρα,door,→,Ancient Greek,θύραζε,outside
37644,shift2627, Derivation,Classical Armenian,durkʿ,door,→,Classical Armenian,durs,outside
37645,shift2627, Derivation,Latin,foris,door,→,Latin,foris,"outside, in the street"
37646,shift2627, Cognates,Old Church Slavonic,двьри,door,—,Old Church Slavonic,дворъ,yard
37652,shift2628, Derivation,Ancient Greek,θύρα,door,→,Ancient Greek,θυραῖος,foreign
37653,shift2628, Derivation,Latin,foris,door,→,Latin,foraneus,foreign
37656,shift2629, Derivation,Classical Armenian,art (արտ),field,→,Classical Armenian,artakʿs (արտաքս),outside
37657,shift2629, Derivation,Croatian,polje,field,→,Croatian,napolju,on the outside
37658,shift2629, Semantic evolution,Irish Gaelic,mag,field,→,Irish Gaelic,amach,on the outside
37659,shift2629, Derivation,Lithuanian,laũkas,field,→,Lithuanian,laukè,outside
37660,shift2629, Derivation,Serbian,поље (polje),field,→,Serbian,напоље (napolje),on the outside
37666,shift2630, Derivation,Ancient Greek,ἀγρός,field,→,Ancient Greek,ἄγριος,wild
37667,shift2630, Derivation,Geez,ḥaḳl,"field, plain, desert",→,Geez,ḥaḳḳāl,"barbarian, savage"
37668,shift2630, Polysemy,Udmurt,луд,field,→,Udmurt,луд,"wild, untamed"
37669,shift2630, Derivation,Wantoat,zongä,"grass, grassland, thicket, forest",→,Wantoat,zong,"wild, not domesticated"
37674,shift2631, Polysemy,Danish,stikke,to thrust (into),→,Danish,stikke,to ache
